Name of black spot ,Lattitude,Longitude
Siddhi Ashram,23.7993489,91.2733629
Chesrimari to Puskar Bari,41.1171432,16.8718715
Bridhinagar,12.9235108,80.1558976
S.k para Area,23.975826,91.96928
Keralapuram,8.9405615,76.6585978
Karuvatta-vazhiyambalam,9.3195143,76.4257935
Eramalloor,9.8234702,76.3111052
chandiroor,9.8433362,76.3088759
Ramapurama,13.010621,80.1932384
Nandikandi outskirts,17.6116958,77.9917086
Aushapur village,17.4620347,78.7355759
Muthangi(v) limits,17.5425548,78.2267425
Mellachervu fly over,16.8192144,79.9290642
katsar village,25.3337351,83.3482146
Muslmanwadi pati,19.0920423,77.2333412
Nagzari fata,20.1986856,76.5184122
Shahapur,19.4520777,73.3279586
Nachlana,33.3613594,75.1722108
Chamalwas,33.385502,75.2099821
Barnoti Morh,32.4301639,75.4355652
Pusaro Bridge,24.2907271,87.2328042
Asanthar,24.3708132,87.1210889
Basukinath bus stand,24.3863547,87.0799077
Devalapur cross,15.7837783,74.8229316
Mayaganahalli,12.7685803,77.3354429
Ethakota center,16.7197294,81.8347317
Gopalapuam center,13.0489376,80.2586162
Kotapoluru cross road,13.7287717,80.0167816
Sawmill Area,35.1009893,-106.6663912
Mithun Gate,27.1028136,93.6331499
Bank Tinali,28.0383824,95.5911369
Daldhova,23.3452948,83.3468379
Badheri Chowk,30.7317011,76.7347343
Anmod Ghat,15.43643,74.3103546
Dabolim,15.390198,73.8547036
Pipodara,21.3602405,72.9599129
Near Bamangam,22.2873625,73.0065816
Biswan Meel,27.4937578,80.9964806
Siwah Cut,29.3411553,76.9831816
Singhapur,20.8141893,86.1363786
Kishanpura,25.289147,75.626628
Thoubal Haokha Area,24.6449243,93.99929
Rangvamual,23.7555027,92.6953772
Ganesh Ghat,19.2469741,73.1183223
Padasoli,26.6425598,75.1421335
Mahlan,26.8095243,75.4767099
Tambaram,12.9249308,80.1000026
vallampadugai,11.3470567,79.7091368
Panikankuppam,11.7505606,79.5432275
Karunkuzhi,12.5319246,79.9039194
kirgani,30.4005341,78.3884888
Lalpur,23.3721233,85.338271
Nalupani,30.6406834,78.3269031
Permanandpur,25.7304374,81.9821162
siraspur,28.7590483,77.1305634
Mahipalpur Flyover,28.5451509,77.121482
Rajbandh,23.4767657,87.3934761
Navabganj,23.6611701,90.1619432
Alampur,15.8843491,78.1193823
purva mod,,
